"Source Function / Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"Eigen::internal::general_matrix_vector_product<long, float, Eigen::internal::const_blas_data_mapper<float, long, (int)0>, (int)0, (bool)0, float, Eigen::internal::const_blas_data_mapper<float, long, (int)1>, (bool)0, (int)0>::run","1.0328","[Unknown]","Eigen::internal::general_matrix_vector_product<long, float, Eigen::internal::const_blas_data_mapper<float, long, (int)0>, (int)0, (bool)0, float, Eigen::internal::const_blas_data_mapper<float, long, (int)1>, (bool)0, (int)0>::run(long, long, Eigen::internal::const_blas_data_mapper<float, long, (int)0> const&, Eigen::internal::const_blas_data_mapper<float, long, (int)1> const&, float*, long, float)","GeneralMatrixVector.h","0"
"Eigen::internal::triangular_solve_matrix<float, long, (int)1, (int)1, (bool)0, (int)0, (int)0>::run","0.966625","[Unknown]","Eigen::internal::triangular_solve_matrix<float, long, (int)1, (int)1, (bool)0, (int)0, (int)0>::run(long, long, float const*, long, float*, long, Eigen::internal::level3_blocking<float, float>&)","TriangularSolverMatrix.h","0"
"send","0.9","[Unknown]","send","[Unknown]","0"
"std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>","0.865494","[Unknown]","void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>(char*, char*, std::forward_iterator_tag)","basic_string.tcc","0"
"MahiFit::updatePulseShape","0.831193","[Unknown]","MahiFit::updatePulseShape(float, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)15, (int)1>&, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)15, (int)1>&, Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)15, (int)15>&) const","MahiFit.cc","0"
"cache_bin_dalloc_easy","0.812124","[Unknown]","cache_bin_dalloc_easy","cache_bin.h","0"
"cache_bin_alloc_easy","0.78721","[Unknown]","cache_bin_alloc_easy","cache_bin.h","0"
"DDExpandedView::nextSibling","0.761392","[Unknown]","DDExpandedView::nextSibling(void)","DDExpandedView.cc","0"
"checkRootObject","0.743944","[Unknown]","checkRootObject","MonitorElement.cc","0"
"dqm::impl::MonitorElement::accessRootObject","0.7088","[Unknown]","dqm::impl::MonitorElement::accessRootObject(dqm::impl::AccessMut const&, char const*, int) const","MonitorElement.cc","0"
"std::type_info::before","0.677779","[Unknown]","std::type_info::before(std::type_info const&) const","typeinfo","0"
"llvm::DataExtractor::getCStr","0.677656","[Unknown]","llvm::DataExtractor::getCStr(unsigned int*) const","[Unknown]","0"
"_mm_store_ps","0.668403","[Unknown]","_mm_store_ps","xmmintrin.h","0"
"std::operator+<char, std::char_traits<char>, std::allocator<char>>","0.664154","[Unknown]","std::basic_string<char, std::char_traits<char>, std::allocator<char>> std::operator+<char, std::char_traits<char>, std::allocator<char>>(std::basic_string<char, std::char_traits<char>, std::allocator<char>> const&, char const*)","[Unknown]","0"
"TH2::GetBin","0.639833","[Unknown]","TH2::GetBin(int, int, int) const","[Unknown]","0"
"std::__malloc_alloc::allocate","0.631458","[Unknown]","std::__malloc_alloc::allocate(unsigned long)","[Unknown]","0"
"sincos","0.631381","[Unknown]","sincos","[Unknown]","0"
"std::__1::__tree<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, std::__1::__map_value_compare<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, std::__1::less<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>>, (bool)1>, std::__1::allocator<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>>>::find<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>>","0.62709","[Unknown]","std::__1::__tree_iterator<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, std::__1::__tree_node<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, void*>*, long> std::__1::__tree<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, std::__1::__map_value_compare<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, std::__1::less<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>>, (bool)1>, std::__1::allocator<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>>>::find<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>>(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>> const&)","[Unknown]","0"
"TAxis::FindBin","0.625404","[Unknown]","TAxis::FindBin(double)","[Unknown]","0"
"Eigen::internal::triangular_solve_matrix<double, long, (int)1, (int)1, (bool)0, (int)0, (int)0>::run","0.60095","[Unknown]","Eigen::internal::triangular_solve_matrix<double, long, (int)1, (int)1, (bool)0, (int)0, (int)0>::run(long, long, double const*, long, double*, long, Eigen::internal::level3_blocking<double, double>&)","TriangularSolverMatrix.h","0"
"FitterFuncs::PulseShapeFunctor::funcShape","0.577213","[Unknown]","FitterFuncs::PulseShapeFunctor::funcShape(std::array<double, (unsigned long)10>&, double, double, double, bool)","PulseShapeFunctor.cc","0"
"TProfile::Fill","0.562856","[Unknown]","TProfile::Fill(double, double, double)","[Unknown]","0"
"__ieee754_atan2_avx","0.552908","[Unknown]","__ieee754_atan2_avx","[Unknown]","0"
"dqm::impl::MonitorElement::getTH2F","0.552176","[Unknown]","dqm::impl::MonitorElement::getTH2F(void)","std_mutex.h","0"
"Eigen::internal::triangular_solve_vector<float, float, long, (int)1, (int)1, (bool)0, (int)0>::run","0.549915","[Unknown]","Eigen::internal::triangular_solve_vector<float, float, long, (int)1, (int)1, (bool)0, (int)0>::run(long, float const*, long, float*)","TriangularSolverVector.h","0"
"asinhf","0.538498","[Unknown]","asinhf","[Unknown]","0"
"EcalUncalibRecHitRatioMethodAlgo<EBDataFrame>::computeTime","0.52082","[Unknown]","EcalUncalibRecHitRatioMethodAlgo<EBDataFrame>::computeTime(std::vector<double, std::allocator<double>>&, std::pair<double, double>&, std::vector<double, std::allocator<double>>&)","EcalUncalibRecHitRatioMethodAlgo.h","0"
"std::__1::__tree<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, std::__1::__map_value_compare<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, std::__1::less<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>>, (bool)1>, std::__1::allocator<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>>>::__insert_unique<std::__1::pair<char const*, Subprogram>>","0.514585","[Unknown]","std::__1::pair<std::__1::__tree_iterator<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, std::__1::__tree_node<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, void*>*, long>, bool> std::__1::__tree<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, std::__1::__map_value_compare<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>, std::__1::less<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>>, (bool)1>, std::__1::allocator<std::__1::__value_type<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>, Subprogram>>>::__insert_unique<std::__1::pair<char const*, Subprogram>>(std::__1::pair<char const*, Subprogram>&&)","[Unknown]","0"
"TH1::GetBinContent","0.511844","[Unknown]","TH1::GetBinContent(int) const","[Unknown]","0"
"__ieee754_log_avx","0.492028","[Unknown]","__ieee754_log_avx","[Unknown]","0"
"TH1F::AddBinContent","0.491685","[Unknown]","TH1F::AddBinContent(int, double)","[Unknown]","0"
"DDSpecificsMatchesValueFilter::accept","0.476973","[Unknown]","DDSpecificsMatchesValueFilter::accept(DDExpandedView const&) const","DDFilter.cc","0"
"std::__copy_move_backward<(bool)1, (bool)0, std::random_access_iterator_tag>::__copy_move_b<DetId*, DetId*>","0.465752","[Unknown]","DetId* std::__copy_move_backward<(bool)1, (bool)0, std::random_access_iterator_tag>::__copy_move_b<DetId*, DetId*>(DetId*, DetId*, DetId*)","stl_algobase.h","0"
"strlen","0.456969","[Unknown]","strlen","[Unknown]","0"
"std::atan2","0.452699","[Unknown]","std::atan2(float, float)","cmath","0"
"HcalCalibrationsSet::getCalibrations","0.442871","[Unknown]","HcalCalibrationsSet::getCalibrations(DetId) const","HcalCalibrationsSet.cc","0"
"TH2F::RetrieveBinContent","0.442811","[Unknown]","TH2F::RetrieveBinContent(int) const","[Unknown]","0"
"__dynamic_cast","0.434951","[Unknown]","__dynamic_cast","tinfo.h","0"
"std::priv::_Rb_tree<std::pair<std::string, unsigned long>, std::less<std::pair<std::string, unsigned long>>, std::pair<std::string, unsigned long>, std::priv::_Identity<std::pair<std::string, unsigned long>>, std::priv::_SetTraitsT<std::pair<std::string, unsigned long>>, std::allocator<std::pair<std::string, unsigned long>>>::insert_unique","0.434201","[Unknown]","std::priv::_Rb_tree<std::pair<std::string, unsigned long>, std::less<std::pair<std::string, unsigned long>>, std::pair<std::string, unsigned long>, std::priv::_Identity<std::pair<std::string, unsigned long>>, std::priv::_SetTraitsT<std::pair<std::string, unsigned long>>, std::allocator<std::pair<std::string, unsigned long>>>::insert_unique(std::pair<std::string, unsigned long> const&)","[Unknown]","0"
"TH2::GetStats","0.427955","[Unknown]","TH2::GetStats(double*) const","[Unknown]","0"
"llvm::DWARFDebugInfoEntryMinimal::getAttributeValue","0.427748","[Unknown]","llvm::DWARFDebugInfoEntryMinimal::getAttributeValue(llvm::DWARFUnit const*, unsigned short, llvm::DWARFFormValue&) const","[Unknown]","0"
"TrackAnalyzer::fillHistosForState","0.420744","[Unknown]","TrackAnalyzer::fillHistosForState(edm::EventSetup const&, reco::Track const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>)","ESHandle.h","0"
"tbb::internal::rml::private_worker::run","0.41","[Unknown]","tbb::internal::rml::private_worker::run(void)","private_server.cpp","0"
"llvm::DWARFAbbreviationDeclarationSet::getAbbreviationDeclaration","0.40261","[Unknown]","llvm::DWARFAbbreviationDeclarationSet::getAbbreviationDeclaration(unsigned int) const","[Unknown]","0"
"__xstat64","0.402146","[Unknown]","__xstat64","[Unknown]","0"
"llvm::DWARFUnit::setDIERelations","0.397248","[Unknown]","llvm::DWARFUnit::setDIERelations(void)","[Unknown]","0"
"_mm_mul_pd","0.394045","[Unknown]","_mm_mul_pd","emmintrin.h","0"
"TrackingParticleBHadronRefSelector::produce","0.390934","[Unknown]","TrackingParticleBHadronRefSelector::produce(edm::Event&, edm::EventSetup const&)","unique_ptr.h","0"
"math::Graph<DDLogicalPart, DDPosData*>::edges","0.385661","[Unknown]","math::Graph<DDLogicalPart, DDPosData*>::edges(unsigned long) const","Graph.h","0"
"edm::productIDToBranchID","0.376654","[Unknown]","edm::productIDToBranchID(edm::ProductID const&, std::vector<std::vector<unsigned int, std::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, std::allocator<unsigned int>>>> const&, std::vector<unsigned short, std::allocator<unsigned short>> const&)","ProductIDToBranchID.cc","0"
"operator new","0.367137","[Unknown]","operator new(unsigned long)","jemalloc_cpp.cpp","0"
"__strcmp_sse42","0.361772","[Unknown]","__strcmp_sse42","[Unknown]","0"
"_mm_set_ps","0.360366","[Unknown]","_mm_set_ps(float, float, float, float)","xmmintrin.h","0"
"ROOT::Math::Rotation3D::operator=","0.359343","[Unknown]","ROOT::Math::Rotation3D::operator=(ROOT::Math::Rotation3D const&)","Rotation3D.h","0"
"std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>::~basic_string","0.35921","[Unknown]","std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>::~basic_string(void)","string","0"
"DDCompareEqual::nextAnylogp","0.356535","[Unknown]","DDCompareEqual::nextAnylogp(void)","DDComparator.cc","0"
"DDI::LogicalPart::hasDDValue","0.355856","[Unknown]","DDI::LogicalPart::hasDDValue(DDValue const&) const","stl_bvector.h","0"
"llvm::DWARFFormValue::skipValue","0.353387","[Unknown]","llvm::DWARFFormValue::skipValue(unsigned short, llvm::DataExtractor, unsigned int*, llvm::DWARFUnit const*)","[Unknown]","0"
"DetId::subdetId","0.351655","[Unknown]","DetId::subdetId(void) const","DetId.h","0"
"std::vector<DDExpandedNode, std::allocator<DDExpandedNode>>::size","0.336638","[Unknown]","std::vector<DDExpandedNode, std::allocator<DDExpandedNode>>::size(void) const","stl_vector.h","0"
"CoreSimTrack::charge","0.334797","[Unknown]","CoreSimTrack::charge(void) const","CoreSimTrack.cc","0"
"ticker_trytick","0.332934","[Unknown]","ticker_trytick","ticker.h","0"
"TH1::Fill","0.326527","[Unknown]","TH1::Fill(double, double)","[Unknown]","0"
"DDExpandedView::firstChild","0.324913","[Unknown]","DDExpandedView::firstChild(void)","DDExpandedView.cc","0"
"std::abs","0.324095","[Unknown]","std::abs(float)","std_abs.h","0"
"edm::EventPrincipal::getByProductID","0.321003","[Unknown]","edm::EventPrincipal::getByProductID(edm::ProductID const&) const","EventPrincipal.cc","0"
"BasicReferenceCounted::removeReference","0.318524","[Unknown]","BasicReferenceCounted::removeReference(void) const","ReferenceCounted.h","0"
"std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>::__init","0.316254","[Unknown]","std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>::__init(char const*, unsigned long)","string","0"
"ROOT::Math::Rotation3D::SetComponents","0.312838","[Unknown]","ROOT::Math::Rotation3D::SetComponents(double, double, double, double, double, double, double, double, double)","Rotation3D.h","0"
"DDI::Singleton<std::vector<std::_Rb_tree_const_iterator<std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>> const, int>>, std::allocator<std::_Rb_tree_const_iterator<std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>> const, int>>>>>::instance","0.302517","[Unknown]","DDI::Singleton<std::vector<std::_Rb_tree_const_iterator<std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>> const, int>>, std::allocator<std::_Rb_tree_const_iterator<std::pair<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>> const, int>>>>>::instance(void)","Singleton.icc","0"
"edm::EventPrincipal::getIt","0.299897","[Unknown]","edm::EventPrincipal::getIt(edm::ProductID const&) const","EventPrincipal.cc","0"
"__memset_sse2","0.296611","[Unknown]","__memset_sse2","[Unknown]","0"
"std::log","0.295257","[Unknown]","std::log(float)","cmath","0"
"std::istream::_M_extract<double>","0.290172","[Unknown]","std::istream& std::istream::_M_extract<double>(double&)","istream.tcc","0"
"[Unknown stack frame(s)]","0.289254","[Unknown]","[Unknown stack frame(s)]","[Unknown]","0"
"dqm::impl::MonitorElement::update","0.287478","[Unknown]","dqm::impl::MonitorElement::update(void)","MonitorElement.h","0"
"Eigen::internal::scalar_product_op<float, float>::operator()","0.285721","[Unknown]","Eigen::internal::scalar_product_op<float, float>::operator()(float const&, float const&) const","BinaryFunctors.h","0"
"edm::DataManagingProductResolver::productWasDeleted_","0.28018","[Unknown]","edm::DataManagingProductResolver::productWasDeleted_(void) const","atomic","0"
"approx_expf_P<(int)6>","0.27954","[Unknown]","float approx_expf_P<(int)6>(float)","approx_exp.h","0"
"MultiTrackValidator::dqmAnalyze","0.279048","[Unknown]","MultiTrackValidator::dqmAnalyze(edm::Event const&, edm::EventSetup const&, MultiTrackValidatorHistograms const&) const","MultiTrackValidator.cc","0"
"_mm_mul_ps","0.277286","[Unknown]","_mm_mul_ps","xmmintrin.h","0"
"TH1::Divide","0.272477","[Unknown]","TH1::Divide(TH1 const*, TH1 const*, double, double, char const*)","[Unknown]","0"
"TH2::SetBinContent","0.271997","[Unknown]","TH2::SetBinContent(int, int, double)","[Unknown]","0"
"TH2F::AddBinContent","0.271568","[Unknown]","TH2F::AddBinContent(int, double)","[Unknown]","0"
"TBufferFile::ReadClassBuffer","0.261596","[Unknown]","TBufferFile::ReadClassBuffer(TClass const*, void*, TClass const*)","[Unknown]","0"
"HcalCalibrationWidthsSet::getCalibrationWidths","0.258335","[Unknown]","HcalCalibrationWidthsSet::getCalibrationWidths(DetId) const","HcalCalibrationWidthsSet.cc","0"
"std::string::_M_assign","0.25795","[Unknown]","std::string::_M_assign(char const*, char const*)","[Unknown]","0"
"std::string::_M_append","0.253473","[Unknown]","std::string::_M_append(char const*, char const*)","[Unknown]","0"
"unsafe_expf_impl<(int)6>","0.253204","[Unknown]","float unsafe_expf_impl<(int)6>(float)","approx_exp.h","0"
"Eigen::internal::div_assign_op<float, float>::assignCoeff","0.249947","[Unknown]","Eigen::internal::div_assign_op<float, float>::assignCoeff(float&, float const&) const","AssignmentFunctors.h","0"
"ROOT::Math::Rotation3D::operator==","0.247294","[Unknown]","ROOT::Math::Rotation3D::operator==(ROOT::Math::Rotation3D const&) const","Rotation3D.h","0"
"MahiFit::doFit","0.246633","[Unknown]","MahiFit::doFit(std::array<float, (unsigned long)3>&, int) const","MahiFit.cc","0"
"TH1::GetBin","0.246155","[Unknown]","TH1::GetBin(int, int, int) const","[Unknown]","0"
"DDCompareEqual::operator()","0.242236","[Unknown]","DDCompareEqual::operator()(void)","DDComparator.cc","0"
"Eigen::internal::triangular_solve_vector<double, double, long, (int)1, (int)1, (bool)0, (int)0>::run","0.242039","[Unknown]","Eigen::internal::triangular_solve_vector<double, double, long, (int)1, (int)1, (bool)0, (int)0>::run(long, double const*, long, double*)","TriangularSolverVector.h","0"
"operator delete","0.240834","[Unknown]","operator delete(void*)","new.cpp","0"
"std::vector<unsigned int, std::allocator<unsigned int>>::size","0.24003","[Unknown]","std::vector<unsigned int, std::allocator<unsigned int>>::size(void) const","stl_vector.h","0"
"reco::HitPattern::countTypedHits","0.238918","[Unknown]","reco::HitPattern::countTypedHits(reco::HitPattern::HitCategory, bool (*)(unsigned short), bool (*)(unsigned short)) const","HitPattern.h","0"
"std::type_info::operator==","0.238542","[Unknown]","std::type_info::operator==(std::type_info const&) const","typeinfo","0"
"free","0.234833","[Unknown]","free","jemalloc.c","0"
"pread64","0.233612","[Unknown]","pread64","[Unknown]","0"
"edm::Ref<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle, edm::refhelper::FindUsingAdvance<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle>>::Ref","0.231331","[Unknown]","edm::Ref<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle, edm::refhelper::FindUsingAdvance<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle>>::Ref(edm::RefCore const&, unsigned int const&)","Ref.h","0"
"reco::HitPattern::trackerLayersWithMeasurement","0.227532","[Unknown]","reco::HitPattern::trackerLayersWithMeasurement(void) const","HitPattern.cc","0"
"edm::RefCoreWithIndex::RefCoreWithIndex","0.226999","[Unknown]","edm::RefCoreWithIndex::RefCoreWithIndex(edm::RefCoreWithIndex const&)","RefCoreWithIndex.cc","0"
"std::vector<HepMC::GenVertex const*, std::allocator<HepMC::GenVertex const*>>::push_back","0.225126","[Unknown]","std::vector<HepMC::GenVertex const*, std::allocator<HepMC::GenVertex const*>>::push_back(HepMC::GenVertex const* const&)","stl_vector.h","0"
"std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>::operator=","0.223123","[Unknown]","std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>::operator=(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>> const&)","string","0"
"__memmove_ssse3_back","0.222354","[Unknown]","__memmove_ssse3_back","[Unknown]","0"
"Eigen::internal::dense_assignment_loop<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)10>>, Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)15, (int)15>, (int)-1, (int)-1, (bool)0>>, Eigen::internal::assign_op<float, float>, (int)0>, (int)4, (int)0>::run","0.221551","[Unknown]","Eigen::internal::dense_assignment_loop<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)10>>, Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)15, (int)15>, (int)-1, (int)-1, (bool)0>>, Eigen::internal::assign_op<float, float>, (int)0>, (int)4, (int)0>::run(Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)10>>, Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)15, (int)15>, (int)-1, (int)-1, (bool)0>>, Eigen::internal::assign_op<float, float>, (int)0>&)","AssignEvaluator.h","0"
"Eigen::internal::gebp_kernel<double, double, long, Eigen::internal::blas_data_mapper<double, long, (int)0, (int)0>, (int)4, (int)4, (bool)0, (bool)0>::operator()","0.218594","[Unknown]","Eigen::internal::gebp_kernel<double, double, long, Eigen::internal::blas_data_mapper<double, long, (int)0, (int)0>, (int)4, (int)4, (bool)0, (bool)0>::operator()(Eigen::internal::blas_data_mapper<double, long, (int)0, (int)0> const&, double const*, double const*, long, long, long, double, long, long, long, long)","GeneralBlockPanelKernel.h","0"
"ROOT::Math::DisplacementVector3D<ROOT::Math::Cartesian3D<double>, ROOT::Math::DefaultCoordinateSystemTag>::Y","0.216528","[Unknown]","ROOT::Math::DisplacementVector3D<ROOT::Math::Cartesian3D<double>, ROOT::Math::DefaultCoordinateSystemTag>::Y(void) const","DisplacementVector3D.h","0"
